Spectral_Type,T_eff,log(T_eff),Color,BC_V,log(L),M_bol,R_Rsun,M_Msun,M_V,M_G,M_J,M_Ks,U-B,B-V,Bt-Vt,V-Rc,V-Ic,V-Ks,G-V,Bp-Rp,G-Rp,b-y,g-r,i-z,z-Y,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4
O3V,44900,4.652,#5b7bff,-4.01,5.82,-9.81,13.43,59,-5.8,,,,-1.175,-0.33,,,,,,,,,,,,,,,,,
O4V,42900,4.632,#5a7bff,-3.89,5.65,-9.39,12.13,48,-5.5,,,,-1.16,-0.326,,,,,,,,,,,,,,,,,
O5V,41400,4.617,#5b7bff,-3.76,5.54,-9.11,11.45,43,-5.35,,,,-1.15,-0.323,,,,,,,,-0.133,-0.62,,,,,,,,
O5.5V,40500,4.607,#5b7bff,-3.67,5.44,-8.87,10.71,38,-5.2,,,,-1.145,-0.322,,,,,,,,-0.133,-0.62,,,,,,,,
O6V,39500,4.597,#5b7cff,-3.57,5.36,-8.67,10.27,35,-5.1,,,,-1.14,-0.321,,,,,,,,-0.132,-0.62,,,,,,,,
O6.5V,38300,4.583,#5b7cff,-3.49,5.27,-8.44,9.82,31,-4.95,,,,-1.135,-0.319,,,,,,,,-0.131,-0.62,,,,,,,,
O7V,37100,4.569,#5b7cff,-3.41,5.18,-8.21,9.42,28,-4.8,,,,-1.13,-0.318,,,,,,,,-0.13,-0.62,,,,,,,,
O7.5V,36100,4.558,#5b7cff,-3.33,5.09,-7.98,8.95,26,-4.65,,,,-1.125,-0.317,,,,,,,,-0.13,-0.62,,,,,,,,
O8V,35100,4.545,#5b7cff,-3.24,4.99,-7.74,8.47,23.6,-4.5,,,,-1.12,-0.315,,,,,,,,-0.129,-0.62,,,,,,,,
O8.5V,34300,4.535,#5b7cff,-3.18,4.91,-7.53,8.06,21.9,-4.35,,,,-1.115,-0.314,,,,,,,,-0.128,-0.62,,,,,,,,
O9V,33300,4.522,#5c7dff,-3.11,4.82,-7.31,7.72,20.2,-4.2,,-3.44,-3.2,-1.11,-0.312,,,-0.369,-1,,,,-0.127,-0.62,,,-0.164,-0.071,,,,
O9.5V,31900,4.504,#5c7dff,-3.01,4.72,-7.06,7.5,18.7,-4.05,,-3.3,-3.073,-1.09,-0.307,,,-0.361,-0.977,,,,-0.125,-0.605,,,-0.161,-0.069,,,,
B0V,31400,4.497,#5d7eff,-2.99,4.65,-6.89,7.16,17.7,-3.9,,-3.17,-2.942,-1.07,-0.301,,,-0.355,-0.958,,,,-0.122,-0.59,,,-0.159,-0.067,0.016,,,
B0.5V,29000,4.462,#5d7fff,-2.83,4.43,-6.33,6.48,14.8,-3.5,,-2.8,-2.587,-1.03,-0.289,,,-0.338,-0.913,,,,-0.12,-0.54,,,-0.153,-0.063,0.017,,,
B1V,26000,4.415,#5f80ff,-2.58,4.13,-5.58,5.71,11.8,-3,,-2.33,-2.126,-0.995,-0.278,,-0.115,-0.325,-0.874,,,,-0.113,-0.49,,,-0.148,-0.059,0.018,,,
B1.5V,24500,4.389,#6081ff,-2.44,3.91,-5.04,5.02,9.9,-2.6,,-2.03,-1.848,-0.91,-0.252,-0.274,-0.114,-0.281,-0.752,-0.021,,,-0.103,-0.483,,,-0.132,-0.047,0.021,,,
B2V,20600,4.314,#6383ff,-2.03,3.43,-3.83,4.06,7.3,-1.8,,-1.34,-1.198,-0.79,-0.215,-0.219,-0.094,-0.23,-0.602,-0.008,,,-0.094,-0.475,,,-0.113,-0.032,0.023,,,
B2.5V,18500,4.267,#6585ff,-1.77,3.2,-3.27,3.89,6.1,-1.5,,-1.09,-0.956,-0.732,-0.198,-0.206,-0.087,-0.21,-0.544,-0.003,,,-0.087,-0.468,,,-0.105,-0.026,0.025,,,
B3V,17000,4.23,#6887ff,-1.54,2.99,-2.74,3.61,5.4,-1.2,-1.19,-0.83,-0.708,-0.673,-0.178,-0.184,-0.08,-0.192,-0.492,0.001,,,-0.083,-0.46,,,-0.098,-0.021,0.026,,,
